"GEOID","year","population","male","female","male_ratio","norm_age_0_19","norm_age_20_69","norm_age_70_plus","race_diversity","unemployment_rate","median_income","mean_income","PercFamiliesBelowPovertyline","HU_occupied_perc","rent_rate","HU_avg_HHsize_owner","HU_avg_HHsize_renter","YB_before_1979_pct","YB_1980_2019_pct","dummy_BY_thredhold50perc"
6037137504,2010,1901,937,964,49.2898474487112,22.3,64.9,12.9,11.7409896117689,1.1,149028,180744,0,93.6,0,2.97,NA,91.8454935622318,8.15450643776824,0
6037138000,2010,4426,2033,2393,45.9331224582015,21.3,69,9.8,21.0137218575933,5.4,119297,175926,0,97.2,8.16110227874934,2.37,2.83,80.1000555864369,19.8999444135631,0
6037139200,2010,5311,2565,2746,48.2959894558464,18.1,72.6,9.1,37.4200106421445,10,49862,68259,7.1,95.3,55.5463917525773,2.62,2.07,78.1144781144781,21.8855218855219,0
6037143200,2010,3901,2108,1793,54.0374263009485,16.2,79.5,4.3,40.3719827851606,10.7,66840,87546,2.1,95,73.247140726007,2.23,1.99,58.0929095354523,41.9070904645477,0
6037143300,2010,5822,2742,3080,47.0972174510478,15.7,76.7,7.6,34.4840304742043,8.8,68838,91949,5,94.7,55.3164150337295,2.22,1.8,67.609756097561,32.390243902439,0
6037201301,2010,3217,1472,1745,45.7569163817221,27.6,63.2,9.3,68.2040129329258,9.3,34861,49244,20.7,90.8,50,3.05,3.47,71.9567177637511,28.0432822362489,0
6037201302,2010,4108,1950,2158,47.4683544303797,11.2,82.2,6.8,64.3290361789616,3.7,75424,85804,5.3,95.8,28.9423984891407,2.01,2.06,30.3978779840849,69.6021220159151,1
6037201401,2010,4810,2453,2357,50.997920997921,32.5,60.7,6.7,62.0547629029958,6.6,41759,56433,25.3,95.7,48.9853044086774,3.28,3.74,78.9665211062591,21.0334788937409,0
6037201402,2010,4835,2379,2456,49.2037228541882,27,59.3,13.7,59.6631721686385,6.7,44622,56557,7.2,94.9,40.1913875598086,3.42,3.56,87.7931034482759,12.2068965517241,0
6037139301,2010,4743,2342,2401,49.3780307822054,23.4,66.1,10.4,17.3794696126418,3.7,105082,139137,7.6,98.3,13.8517618469016,2.95,2.83,71.7542748575048,28.2457251424952,0
6037139302,2010,4509,2127,2382,47.1723220226214,19.5,72.7,7.9,56.3023972999763,4.9,50634,61533,9,92.1,65.5121951219512,1.75,2.53,76.5182186234818,23.4817813765182,0
6037139502,2010,2622,1320,1302,50.3432494279176,21.4,64.9,13.6,11.8699020958026,4.7,55136,73150,2.1,91,34.2607313195548,2.37,2.16,81.5596330275229,18.4403669724771,0
6037139600,2010,5295,2482,2813,46.8744098205855,25,64.2,10.7,35.5758073476055,4.4,87185,156415,2,91.7,31.959219858156,2.71,2.27,81.390977443609,18.609022556391,0
6037139701,2010,4977,2242,2735,45.0472171991159,23.1,62,14.9,27.4879959164376,2.8,125769,180360,2.5,97.6,9.3071354705274,2.54,3.55,66.0694896851249,33.9305103148751,0
6037139801,2010,2993,1424,1569,47.5776812562646,23.1,55,21.9,23.2119292939791,2.6,130435,184020,2.6,92,6.34796238244514,2.56,2.47,85.437645236251,14.562354763749,0
6037143400,2010,5843,3127,2716,53.5170289234982,17.3,68.1,14.6,30.1268203776677,7,73618,114877,0,89.8,48.6623772434812,2.27,1.91,66.6001330671989,33.3998669328011,0
6037143500,2010,4419,2197,2222,49.7171305725277,17,76.7,6.2,23.7725950516811,5.4,80735,114061,6.5,92.5,45.945945945946,2.41,1.82,63.6405959031657,36.3594040968343,0
6037181000,2010,6690,2913,3777,43.542600896861,23,64.6,12.4,65.4806071127735,5.5,68322,86739,10.7,99.5,22.5316455696203,2.96,2.41,91.9459962756052,8.05400372439479,0
6037181500,2010,3793,2030,1763,53.5196414447667,22.5,69.5,8,67.1702747418841,6,66563,79896,4,94.2,26.9750889679715,3.17,2.12,94.8446327683616,5.15536723163842,0
